084418.71+303804.2 0.363 1 52639 19.316 0.022 56331 20.351 0.051 52937 56337 20.325 0.060     0 N/A      0 -1.0
084419.29+503152.1 0.323 0 51638 18.230 0.026 56300 19.761 0.027 51873 56300 19.688 0.027     0 N/A      0 -1.0
084455.11+381237.5 0.409 1 52263 19.154 0.021 56030 21.492 0.109 52323 56337 21.310 0.078 58081 MMT      0  1.4
084811.92+340844.6 0.341 1 52621 19.905 0.031 55972 21.206 0.083 52701 56337 21.176 0.107     0 N/A      0 -1.0
084820.15+014620.3 0.572 0 51878 18.786 0.014 56332 19.793 0.037 51901 56332 19.793 0.037     0 N/A      0 -1.0
084955.90+175035.7 0.558 0 53387 19.335 0.015 55945 20.910 0.091 53711 56308 20.484 0.059     0 N/A      0 -1.0
085155.23+150835.5 0.454 0 53439 18.798 0.017 56309 20.585 0.051 53818 56309 20.585 0.051     0 N/A      0 -1.0
085259.22+031320.6 0.297 0 51960 16.214 0.013 56332 17.246 0.007 52225 56332 17.246 0.007     0 N/A      0 -1.0
085353.67+133520.1 0.578 0 53684 19.235 0.019 56309 20.663 0.067 53820 56309 20.663 0.067     0 N/A      0 -1.0
085431.90+253229.4 0.570 0 53082 19.212 0.017 55969 20.700 0.079 53381 55969 20.503 0.061     0 N/A      0 -1.0
085451.72+012609.9 0.542 0 51668 18.342 0.019 56028 19.524 0.023 51912 56028 19.500 0.022     0 N/A      0 -1.0
085626.71+511117.8 0.542 0 51874 19.498 0.023 55889 21.340 0.090 51993 56427 20.756 0.096     0 N/A      0 -1.0
090104.75+345524.2 0.564 1 52585 19.128 0.025 55972 20.989 0.057 52964 55972 20.989 0.057 57430 MMT      1  1.0
090339.98+241257.6 0.605 0 53111 19.394 0.022 56302 20.775 0.074 53401 56302 20.762 0.083     0 N/A      0 -1.0
090345.97+391821.0 0.374 0 52288 19.385 0.033 56336 20.397 0.044 52703 56336 20.397 0.044     0 N/A      0 -1.0
090355.18+594401.3 0.567 0 52936 18.855 0.018 55957 20.350 0.043 54439 56303 20.112 0.042     0 N/A      0 -1.0
090826.12+421529.9 0.593 0 52263 19.507 0.022 55972 21.329 0.124 52668 56338 21.029 0.087     0 N/A      0 -1.0
091234.00+262828.2 0.551 0 53110 18.891 0.029 56302 20.414 0.061 53415 56302 20.221 0.066     0 N/A      0 -1.0
091412.69+340915.5 0.574 0 52639 19.574 0.021 55238 21.128 0.077 52993 56337 20.876 0.056     0 N/A      0 -1.0
091635.00+405514.5 0.529 0 52288 20.038 0.032 56329 21.341 0.145 52708 56338 21.330 0.117     0 N/A      0 -1.0
091730.71+110110.6 0.303 1 52728 18.912 0.025 56309 20.365 0.044 53050 56309 20.365 0.044 57818 MMT      0  1.4
091903.57+350236.3 0.211 0 52664 17.705 0.017 56331 19.177 0.023 52995 56331 19.177 0.023 58125 MMT      0  1.7
092109.11+392315.8 0.329 1 52288 19.397 0.027 56283 20.550 0.065 52708 56335 20.548 0.046 57430 MMT      1 -1.0
092150.22+575615.1 0.401 0 51638 19.187 0.021 55956 20.654 0.062 51908 56303 20.280 0.049     0 N/A      0 -1.0
092223.17+444629.0 0.536 1 52234 19.522 0.044 56334 20.878 0.099 52314 56338 20.679 0.074 57430 MMT      0  1.5
092702.30+043308.2 0.322 1 51960 18.641 0.016 56333 19.770 0.027 52254 56333 19.643 0.025 57819 MMT      1  3.1
093255.42+651647.0 0.502 0 55956 18.529 0.016 55957 21.233 0.144 54468 55957 21.233 0.144     0 N/A      0 -1.0
093258.25+531748.7 0.466 0 51961 18.892 0.021 56331 20.903 0.088 53764 56331 20.852 0.068     0 N/A      0 -1.0
093438.57+405629.8 0.648 0 52288 20.188 0.041 56338 18.982 0.034 52636 56338 18.982 0.034     0 N/A      0 -1.0
093912.65+033957.1 0.580 0 51960 18.547 0.033 56333 19.714 0.028 52266 56333 19.714 0.028     0 N/A      0 -1.0
