ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
149.933012,2.558963,61.469,0.217,183.585,1.041,147.008,1.046,115.064,5.289,91.254,7.266,0.855,0,133.050026,308.413226
149.926050,2.526277,40.799,0.206,75.293,0.457,55.314,0.216,50.648,5.807,51.256,5.294,null,2,133.946754,254.853185
149.973985,2.571522,143.831,0.213,101.123,0.737,91.087,0.468,48.610,6.071,109.429,5.567,0.310,0,134.948799,18.626092
149.985976,2.564901,66.248,0.213,102.811,0.446,61.041,0.210,48.776,1.963,24.832,2.486,0.709,0,135.130112,39.649801
149.924393,2.539329,51.145,0.202,72.596,0.388,50.926,0.282,44.170,3.395,23.086,3.400,0.602,0,135.780808,275.064476
149.924055,2.538417,48.931,0.202,53.294,0.317,34.451,0.170,19.107,3.197,12.338,3.442,0.542,0,136.745775,273.648490
149.938388,2.505937,37.590,0.226,88.304,0.427,65.258,0.554,42.141,7.436,39.441,6.121,null,2,137.566607,218.119898
149.923417,2.524993,74.676,0.203,186.716,0.717,119.390,0.538,104.247,7.582,36.316,5.296,0.741,0,144.310403,254.063591
150.002165,2.543851,73.380,0.211,155.164,2.094,142.301,2.108,182.715,22.170,212.821,14.500,null,0,147.190680,78.929060
150.003113,2.528127,28.948,0.221,66.742,0.413,49.907,0.265,32.040,4.856,18.419,2.662,0.780,0,150.554273,100.850813
149.920459,2.529395,1728.286,0.207,839.518,17.073,563.739,13.403,365.636,16.254,194.237,12.597,null,0,151.282704,260.957946
149.921354,2.523857,34.473,0.202,59.235,0.281,38.957,0.247,36.455,4.688,15.230,4.045,0.720,0,152.580497,253.352866
149.919880,2.541229,27.889,0.200,64.086,0.314,58.310,0.274,25.288,3.278,22.312,4.162,1.345,0,152.649379,277.085018
150.000562,2.554250,19.117,0.213,63.866,0.558,71.194,0.514,85.524,10.474,49.579,5.406,null,0,153.460428,64.651127
149.920625,2.525354,35.002,0.202,57.912,0.204,37.577,0.188,21.743,4.001,13.611,4.635,0.717,0,153.661348,255.558191
150.003000,2.548970,35.071,0.214,153.129,5.421,152.789,4.209,114.514,12.735,118.549,10.329,null,0,154.669375,72.428698
149.919974,2.526256,60.558,0.204,151.190,0.607,119.687,0.633,94.881,6.633,65.277,6.489,0.718,0,155.164034,256.934602
149.926181,2.560417,37.937,0.217,61.366,0.450,40.710,0.157,33.435,2.672,35.198,5.664,null,2,155.954115,304.308534
149.919064,2.528121,28.654,0.202,62.245,3.067,45.031,2.036,40.884,5.731,31.066,3.499,null,0,157.003033,259.592880
149.975249,2.577993,359.476,0.214,333.017,1.415,268.206,0.834,141.905,8.347,92.122,8.544,0.247,0,158.507201,17.494623
149.983259,2.496708,128.313,0.218,111.964,0.479,93.207,0.381,52.888,6.329,29.221,3.143,0.370,0,160.791722,151.606843
150.000823,2.558621,312.904,0.221,174.732,1.519,120.862,0.634,92.487,7.853,44.818,3.888,null,0,161.636612,59.746780
149.918726,2.548216,140.680,0.210,141.448,0.462,111.359,0.587,93.966,6.208,47.430,4.245,0.450,0,161.728744,285.779771
149.968669,2.580962,57.926,0.214,112.296,0.468,83.408,0.478,64.005,6.906,49.991,2.786,0.870,0,163.629301,8.428129
149.944882,2.493535,28.424,0.226,53.524,0.210,43.928,0.334,30.592,3.523,42.461,4.410,null,2,164.803945,201.936285
149.916176,2.538123,40.117,0.202,54.577,0.507,33.605,0.231,23.955,5.378,10.343,2.615,0.705,0,164.981517,272.656437
149.986369,2.574897,130.949,0.214,114.860,0.441,100.981,0.368,58.898,5.050,57.568,5.824,0.318,0,165.193190,32.041407
149.918315,2.550625,111.680,0.219,70.213,0.857,50.534,0.300,32.034,3.573,13.421,5.190,null,1,165.698081,288.527310
149.999439,2.508771,29.826,0.228,55.685,0.309,39.905,0.245,17.768,5.712,14.873,3.706,0.936,0,166.551781,126.054265
150.005837,2.553465,4.035,0.214,135.416,6.385,119.476,4.372,156.791,19.178,60.456,11.431,null,0,169.733274,68.256921
149.968675,2.583241,115.313,0.214,136.700,0.353,144.464,0.431,90.575,6.735,386.239,11.797,0.351,0,171.752000,8.034659
149.938305,2.577557,503.493,0.219,786.345,2.849,587.628,1.648,347.682,16.145,862.418,17.532,null,2,172.172920,330.334322
149.914553,2.542424,35.459,0.201,89.684,0.496,65.143,0.248,63.881,5.635,52.918,6.177,0.746,0,172.202920,277.719275
149.933055,2.497894,44.948,0.230,61.977,0.269,38.925,0.262,31.018,3.970,10.787,3.603,0.730,0,172.209478,217.194206
149.987730,2.495567,90.190,0.217,70.074,0.459,57.104,0.347,34.287,6.661,22.259,3.662,0.380,0,172.484042,147.553796
150.009405,2.526681,34.416,0.222,71.510,3.201,49.718,1.771,41.590,7.816,26.963,2.420,0.718,0,173.760883,101.131141
149.915715,2.521317,94.343,0.205,154.411,0.655,100.072,0.433,73.984,7.420,37.519,5.538,null,2,174.655114,252.384864
149.999731,2.505266,142.706,0.235,94.879,1.185,65.366,0.490,36.842,5.831,24.304,3.761,null,1,175.089265,129.190653
149.992211,2.574331,49.004,0.213,55.758,0.280,36.426,0.228,30.160,4.880,13.718,3.175,0.671,0,175.633630,38.214994
150.008895,2.549773,160.511,0.185,300.665,88.795,null,null,355.972,185.123,-14.553,142.923,null,0,175.792482,73.615994
149.935735,2.577658,809.424,0.222,396.134,6.602,250.923,1.650,156.076,8.453,103.637,7.739,null,0,177.237016,327.795198
149.938614,2.579355,23.384,0.219,52.239,0.266,35.047,0.217,16.019,2.828,31.220,3.745,null,0,177.298358,331.681676
149.993245,2.574380,53.094,0.214,76.849,0.295,47.936,0.273,30.623,5.396,18.687,2.770,0.713,0,178.093236,39.120154
150.009842,2.548848,118.768,0.159,1109.352,104.708,null,null,-102.035,102.876,278.013,68.391,null,0,178.170709,74.953283
149.982459,2.581186,57.424,0.214,87.902,0.392,54.241,0.290,36.031,3.292,14.512,2.285,0.692,0,178.537506,24.338114
149.920028,2.509226,40.928,0.224,63.613,0.468,37.756,0.264,23.656,5.904,13.943,3.176,0.719,0,179.101884,237.441553
150.009839,2.549851,12024.359,1.232,7539.196,540.548,11802.577,484.848,9097.474,669.463,7440.692,411.939,null,0,179.131804,73.836089
150.009815,2.550780,112.299,0.147,127.640,69.869,null,null,-9.652,93.569,138.143,74.709,null,0,180.009603,72.806003
150.010736,2.549873,110.244,0.136,273.859,57.567,null,null,null,null,null,null,null,0,182.255238,74.094508
150.011461,2.524289,2057.908,0.227,1253.474,23.694,855.604,11.750,603.692,30.837,339.605,12.975,null,0,182.812603,103.332227
149.989901,2.578491,44.877,0.215,65.645,0.320,42.037,0.176,38.398,4.114,13.401,2.595,0.718,0,182.941405,33.263570
149.951758,2.486218,26.708,0.225,53.965,0.314,43.779,0.196,32.357,2.913,24.560,3.333,1.005,0,182.963250,191.614951
149.926833,2.498904,78.497,0.228,147.283,0.619,94.895,0.495,65.148,5.709,28.285,3.560,0.741,0,183.933817,223.443636
149.913978,2.555063,106.994,0.216,80.600,0.627,68.787,0.335,31.061,4.593,60.276,7.267,0.258,0,185.844381,291.672224
149.959325,2.587739,173.318,0.223,79.923,0.584,51.590,0.555,34.538,5.533,16.566,4.018,null,0,186.507335,357.042983
149.944584,2.486686,48.787,0.229,73.135,0.665,47.594,0.339,32.492,3.523,19.208,3.557,null,2,188.256492,199.434186
149.990403,2.492037,31.733,0.216,74.733,0.263,54.160,0.245,36.369,5.411,27.331,3.037,0.742,0,188.368893,147.159522
